,account number,name,sku,quantity,unit price,ext price,date
38,412290,Jerde-Hilpert,S2-34077,-1,37.88,-37.88,2014-02-10 07:12:37
39,688981,Keeling LLC,B1-69924,5,49.93,249.65,2014-02-10 10:25:15
40,604255,"Halvorson, Crona and Champlin",B1-38851,46,70.65,3249.9,2014-02-10 17:26:42
41,412290,Jerde-Hilpert,S2-23246,3,73.82,221.46,2014-02-11 02:26:16
42,383080,Will LLC,B1-53102,45,89.22,4014.9,2014-02-11 04:14:09
43,604255,"Halvorson, Crona and Champlin",B1-53102,12,47.95,575.4,2014-02-11 04:29:40
44,604255,"Halvorson, Crona and Champlin",S1-47412,39,13.76,536.64,2014-02-11 08:28:17
45,257198,"Cronin, Oberbrunner and Spencer",B1-38851,47,42.82,2012.54,2014-02-11 15:33:17
46,163416,Purdy-Kunde,S1-93683,22,10.72,235.84,2014-02-11 17:43:36
47,257198,"Cronin, Oberbrunner and Spencer",B1-53636,32,42.76,1368.32,2014-02-11 21:35:57
48,740150,Barton LLC,S2-10342,47,96.68,4543.96,2014-02-12 03:36:52
49,740150,Barton LLC,B1-38851,3,79.49,238.47,2014-02-12 05:09:16
50,146832,Kiehn-Spinka,B1-53636,9,13.38,120.42,2014-02-12 13:17:28
51,527099,Sanford and Sons,S2-78676,25,64.82,1620.5,2014-02-12 14:33:26
52,218895,Kulas Inc,S2-78676,36,65.86,2370.96,2014-02-12 19:46:37
53,412290,Jerde-Hilpert,S2-78676,19,43.17,820.23,2014-02-13 12:35:26
54,424914,White-Trantow,S2-83881,42,88.4,3712.8,2014-02-13 18:40:29
55,163416,Purdy-Kunde,S2-16558,40,86.08,3443.2,2014-02-13 18:49:49
56,714466,Trantow-Barrows,S1-30248,30,71.02,2130.6,2014-02-14 02:16:18
57,257198,"Cronin, Oberbrunner and Spencer",B1-53102,11,86.26,948.86,2014-02-14 13:19:46
58,714466,Trantow-Barrows,S1-93683,25,46.09,1152.25,2014-02-14 18:30:23
59,714466,Trantow-Barrows,S2-77896,34,18.37,624.58,2014-02-14 20:29:47
60,239344,Stokes LLC,S2-83881,30,43.0,1290.0,2014-02-15 02:13:23
61,740150,Barton LLC,B1-20000,28,81.39,2278.92,2014-02-15 07:45:16
62,424914,White-Trantow,S1-93683,9,51.71,465.39,2014-02-15 14:15:43
63,257198,"Cronin, Oberbrunner and Spencer",S1-27722,28,10.21,285.88,2014-02-15 17:27:44
64,146832,Kiehn-Spinka,B1-53102,6,92.89,557.34,2014-02-16 03:32:36
65,218895,Kulas Inc,S2-82423,39,65.73,2563.47,2014-02-16 04:51:11
66,737550,"Fritsch, Russel and Anderson",S1-27722,15,70.23,1053.45,2014-02-16 18:24:42
67,424914,White-Trantow,B1-69924,23,95.27,2191.21,2014-02-17 11:25:25
68,740150,Barton LLC,B1-38851,17,81.22,1380.74,2014-02-17 17:12:16
69,672390,Kuhn-Gusikowski,S2-82423,36,79.02,2844.72,2014-02-18 01:44:52
70,141962,Herman LLC,B1-33364,44,25.37,1116.28,2014-02-18 13:55:44
71,424914,White-Trantow,B1-50809,40,30.27,1210.8,2014-02-18 18:12:16
72,424914,White-Trantow,S1-82801,13,43.88,570.44,2014-02-19 07:17:30
73,239344,Stokes LLC,B1-53102,6,66.49,398.94,2014-02-19 07:37:40
74,604255,"Halvorson, Crona and Champlin",S2-11481,8,74.26,594.08,2014-02-19 22:20:21
75,383080,Will LLC,B1-69924,33,95.39,3147.87,2014-02-20 06:16:53
76,714466,Trantow-Barrows,S1-65481,2,82.21,164.42,2014-02-20 11:45:25
77,527099,Sanford and Sons,S2-10342,25,88.2,2205.0,2014-02-20 14:31:09
78,737550,"Fritsch, Russel and Anderson",S2-34077,26,93.35,2427.1,2014-02-20 18:45:43
79,163416,Purdy-Kunde,B1-65551,9,48.28,434.52,2014-02-21 04:32:17
80,737550,"Fritsch, Russel and Anderson",S1-93683,31,10.52,326.12,2014-02-21 13:55:45
81,729833,Koepp Ltd,B1-04202,2,25.98,51.96,2014-02-21 14:08:11
82,257198,"Cronin, Oberbrunner and Spencer",B1-53636,47,50.4,2368.8,2014-02-21 20:25:35
83,786968,"Frami, Hills and Schmidt",B1-20000,28,89.59,2508.52,2014-02-21 22:09:42
84,527099,Sanford and Sons,S1-65481,4,61.28,245.12,2014-02-22 06:43:14
85,141962,Herman LLC,B1-38851,20,72.88,1457.6,2014-02-22 16:39:09
86,688981,Keeling LLC,B1-38851,40,51.03,2041.2,2014-02-22 17:44:09
87,218895,Kulas Inc,B1-33087,47,59.7,2805.9,2014-02-22 20:44:27
88,257198,"Cronin, Oberbrunner and Spencer",S1-47412,43,96.8,4162.4,2014-02-23 14:26:24
89,786968,"Frami, Hills and Schmidt",S1-93683,33,48.97,1616.01,2014-02-23 19:12:27
90,257198,"Cronin, Oberbrunner and Spencer",B1-33087,23,58.28,1340.44,2014-02-24 05:24:50
91,737550,"Fritsch, Russel and Anderson",S2-82423,46,67.67,3112.82,2014-02-24 08:35:31
92,740150,Barton LLC,B1-33087,35,93.25,3263.75,2014-02-25 02:55:39
93,239344,Stokes LLC,S1-82801,43,35.75,1537.25,2014-02-25 07:32:19
94,604255,"Halvorson, Crona and Champlin",B1-86481,9,62.64,563.76,2014-02-25 15:25:38
95,146832,Kiehn-Spinka,S1-50961,11,35.48,390.28,2014-02-26 02:24:32
96,141962,Herman LLC,B1-69924,21,95.0,1995.0,2014-02-26 19:08:02
97,383080,Will LLC,S2-23246,47,10.93,513.71,2014-02-26 20:41:02
98,383080,Will LLC,B1-20000,4,35.04,140.16,2014-02-26 23:56:15
99,672390,Kuhn-Gusikowski,S1-93683,10,34.96,349.6,2014-02-27 02:58:58
100,424914,White-Trantow,S1-93683,-1,25.01,-25.01,2014-02-27 10:32:25
101,383080,Will LLC,S1-93683,41,97.29,3988.89,2014-02-27 14:54:11
102,714466,Trantow-Barrows,S2-11481,46,39.61,1822.06,2014-02-27 16:12:51
103,740150,Barton LLC,S1-30248,21,14.05,295.05,2014-02-28 02:29:03
104,218895,Kulas Inc,B1-69924,44,72.43,3186.92,2014-02-28 08:42:56
105,383080,Will LLC,B1-53102,6,32.8,196.8,2014-02-28 17:35:23
106,688981,Keeling LLC,S2-23246,18,64.71,1164.78,2014-02-28 23:21:04
107,642753,Pollich LLC,B1-04202,8,95.86,766.88,2014-02-28 23:47:32
108,740150,Barton LLC,B1-20000,39,86.69,3380.91,2014-01-01 07:21:51
109,714466,Trantow-Barrows,S2-77896,-1,63.16,-63.16,2014-01-01 10:00:47
110,218895,Kulas Inc,B1-69924,23,90.7,2086.1,2014-01-01 13:24:58
111,307599,"Kassulke, Ondricka and Metz",S1-65481,41,21.05,863.05,2014-01-01 15:05:22
112,412290,Jerde-Hilpert,S2-34077,6,83.21,499.26,2014-01-01 23:26:55
113,714466,Trantow-Barrows,S2-77896,17,87.63,1489.71,2014-01-02 10:07:15
114,218895,Kulas Inc,B1-65551,2,31.1,62.2,2014-01-02 10:57:23
115,729833,Koepp Ltd,S1-30248,8,33.25,266.0,2014-01-03 06:32:11
116,714466,Trantow-Barrows,S1-50961,22,84.09,1849.98,2014-01-03 11:29:02
117,737550,"Fritsch, Russel and Anderson",S2-82423,14,81.92,1146.88,2014-01-03 19:07:37
118,146832,Kiehn-Spinka,S2-82423,15,67.74,1016.1,2014-01-03 19:39:53
119,688981,Keeling LLC,S2-00301,7,20.26,141.82,2014-01-04 00:02:36
120,786968,"Frami, Hills and Schmidt",S2-23246,6,61.31,367.86,2014-01-04 06:51:53
121,307599,"Kassulke, Ondricka and Metz",S2-10342,17,12.44,211.48,2014-01-04 07:53:01
122,737550,"Fritsch, Russel and Anderson",B1-53102,23,71.56,1645.88,2014-01-04 08:57:48
123,239344,Stokes LLC,S1-06532,34,71.51,2431.34,2014-01-04 11:34:58
124,672390,Kuhn-Gusikowski,S1-30248,14,72.75,1018.5,2014-01-04 19:59:02
125,239344,Stokes LLC,B1-50809,14,16.23,227.22,2014-01-04 22:14:32
126,141962,Herman LLC,S1-82801,10,94.3,943.0,2014-01-05 15:12:16
127,412290,Jerde-Hilpert,S2-00301,33,31.18,1028.94,2014-01-05 22:39:21
128,424914,White-Trantow,S2-00301,45,96.95,4362.75,2014-01-06 08:20:27
129,527099,Sanford and Sons,S1-30248,24,50.29,1206.96,2014-01-06 14:14:00
130,786968,"Frami, Hills and Schmidt",B1-04202,2,52.41,104.82,2014-01-06 15:53:49
131,714466,Trantow-Barrows,S1-30248,-1,16.97,-16.97,2014-01-06 18:27:28
132,786968,"Frami, Hills and Schmidt",S2-83881,34,60.41,2053.94,2014-01-06 23:38:31
133,729833,Koepp Ltd,S2-78676,5,14.75,73.75,2014-01-07 00:29:41
134,737550,"Fritsch, Russel and Anderson",B1-53636,42,42.06,1766.52,2014-01-08 00:02:11
135,672390,Kuhn-Gusikowski,S2-83881,42,63.87,2682.54,2014-01-08 10:00:08
136,714466,Trantow-Barrows,B1-38851,4,60.04,240.16,2014-01-08 11:50:18
137,729833,Koepp Ltd,B1-86481,6,81.79,490.74,2014-01-08 17:46:40
138,642753,Pollich LLC,S1-93683,4,87.18,348.72,2014-01-09 00:57:12
139,714466,Trantow-Barrows,B1-33087,32,19.56,625.92,2014-01-09 10:16:32
140,737550,"Fritsch, Russel and Anderson",S1-27722,20,29.54,590.8,2014-01-09 13:20:40
141,218895,Kulas Inc,S1-06532,3,22.36,67.08,2014-01-09 23:58:27
142,307599,"Kassulke, Ondricka and Metz",S2-78676,35,33.04,1156.4,2014-01-10 05:26:31
143,527099,Sanford and Sons,S1-27722,48,43.4,2083.2,2014-01-10 10:59:39
144,218895,Kulas Inc,S2-34077,16,73.04,1168.64,2014-01-10 12:07:30
145,383080,Will LLC,S2-23246,23,59.98,1379.54,2014-01-10 13:44:08
146,383080,Will LLC,B1-05914,25,98.46,2461.5,2014-01-10 15:12:00
147,729833,Koepp Ltd,B1-33364,7,10.87,76.09,2014-01-10 22:07:35
148,714466,Trantow-Barrows,B1-65551,48,69.36,3329.28,2014-01-10 23:01:24
149,146832,Kiehn-Spinka,S2-16558,22,87.91,1934.02,2014-01-11 21:48:26
150,737550,"Fritsch, Russel and Anderson",S1-93683,22,71.68,1576.96,2014-01-11 23:47:36
151,218895,Kulas Inc,B1-50809,43,47.21,2030.03,2014-01-12 01:54:37
152,729833,Koepp Ltd,S1-06532,41,80.59,3304.19,2014-01-12 04:47:23
153,729833,Koepp Ltd,S2-78676,12,41.27,495.24,2014-01-13 00:05:30
154,383080,Will LLC,S1-93683,45,56.61,2547.45,2014-01-13 02:41:46
155,218895,Kulas Inc,S1-47412,1,94.01,94.01,2014-01-13 08:36:18
156,412290,Jerde-Hilpert,S2-77896,12,42.93,515.16,2014-01-13 13:19:20
157,141962,Herman LLC,B1-53636,4,18.72,74.88,2014-01-13 20:50:52
158,672390,Kuhn-Gusikowski,S2-23246,25,22.76,569.0,2014-01-13 23:16:56
159,257198,"Cronin, Oberbrunner and Spencer",B1-05914,8,23.05,184.4,2014-01-14 01:57:35
160,424914,White-Trantow,S2-10342,4,20.67,82.68,2014-01-14 15:07:18
161,412290,Jerde-Hilpert,B1-04202,42,86.4,3628.8,2014-01-14 15:18:51
162,141962,Herman LLC,S2-00301,22,48.85,1074.7,2014-01-14 23:01:56
163,688981,Keeling LLC,S2-16558,11,83.56,919.16,2014-01-15 06:52:09
164,412290,Jerde-Hilpert,S2-10342,6,69.92,419.52,2014-01-15 08:32:25
165,672390,Kuhn-Gusikowski,S1-30248,12,36.53,438.36,2014-01-15 09:12:52
166,307599,"Kassulke, Ondricka and Metz",B1-20000,22,37.87,833.14,2014-01-15 16:22:22
167,141962,Herman LLC,S1-82801,2,12.1,24.2,2014-01-15 17:49:48
168,412290,Jerde-Hilpert,S2-16558,16,80.93,1294.88,2014-01-16 05:51:27
169,424914,White-Trantow,B1-38851,47,86.32,4057.04,2014-01-16 06:57:05
170,141962,Herman LLC,B1-33364,16,13.34,213.44,2014-01-16 09:21:22
171,737550,"Fritsch, Russel and Anderson",S2-77896,41,38.43,1575.63,2014-01-16 22:39:11
172,672390,Kuhn-Gusikowski,B1-65551,17,50.83,864.11,2014-01-17 05:37:56
173,218895,Kulas Inc,S1-93683,43,21.72,933.96,2014-01-17 16:18:29
174,714466,Trantow-Barrows,B1-04202,16,91.09,1457.44,2014-01-17 18:01:31
175,604255,"Halvorson, Crona and Champlin",B1-65551,34,62.86,2137.24,2014-01-17 19:00:16
176,424914,White-Trantow,B1-53636,44,33.07,1455.08,2014-01-18 01:09:27
177,737550,"Fritsch, Russel and Anderson",S2-82423,13,24.98,324.74,2014-01-18 06:32:00
178,307599,"Kassulke, Ondricka and Metz",S2-10342,44,96.79,4258.76,2014-01-18 06:32:31
179,146832,Kiehn-Spinka,S1-93683,26,52.07,1353.82,2014-01-18 10:21:51
180,383080,Will LLC,S2-83881,35,93.37,3267.95,2014-01-18 11:01:58
181,146832,Kiehn-Spinka,S1-50961,39,17.72,691.08,2014-01-18 11:34:38
182,383080,Will LLC,S2-77896,14,23.95,335.3,2014-01-18 12:28:26
183,714466,Trantow-Barrows,S2-23246,49,73.5,3601.5,2014-01-18 18:30:58
184,146832,Kiehn-Spinka,S1-30248,1,31.17,31.17,2014-01-18 22:26:11
185,527099,Sanford and Sons,S1-47412,27,77.69,2097.63,2014-01-18 23:43:24
186,642753,Pollich LLC,S1-50961,3,20.27,60.81,2014-01-19 00:12:32
187,604255,"Halvorson, Crona and Champlin",S1-27722,34,88.99,3025.66,2014-01-19 10:16:20
188,729833,Koepp Ltd,S2-00301,9,56.32,506.88,2014-01-19 10:34:41
189,786968,"Frami, Hills and Schmidt",S1-27722,18,33.64,605.52,2014-01-19 11:45:51
190,786968,"Frami, Hills and Schmidt",B1-33087,22,79.82,1756.04,2014-01-19 21:53:06
191,412290,Jerde-Hilpert,S1-82801,16,18.96,303.36,2014-01-19 22:40:09
192,688981,Keeling LLC,B1-53102,13,64.38,836.94,2014-01-20 00:00:21
193,740150,Barton LLC,B1-50809,8,19.6,156.8,2014-01-20 01:48:47
194,672390,Kuhn-Gusikowski,S1-27722,3,36.97,110.91,2014-01-20 02:29:57
195,141962,Herman LLC,S2-34077,44,90.23,3970.12,2014-01-20 07:27:00
196,218895,Kulas Inc,S2-83881,41,78.27,3209.07,2014-01-20 09:37:58
197,383080,Will LLC,B1-33364,26,90.19,2344.94,2014-01-20 09:39:59
198,604255,"Halvorson, Crona and Champlin",S2-11481,37,96.71,3578.27,2014-01-20 13:07:28
199,740150,Barton LLC,B1-53102,1,68.06,68.06,2014-01-20 13:27:52
200,527099,Sanford and Sons,B1-05914,18,64.32,1157.76,2014-01-20 21:40:58
201,383080,Will LLC,B1-53636,37,14.4,532.8,2014-01-20 22:18:21
202,714466,Trantow-Barrows,S2-77896,48,37.8,1814.4,2014-01-21 05:05:38
203,218895,Kulas Inc,S2-16558,20,57.96,1159.2,2014-01-21 18:16:45
204,740150,Barton LLC,S2-16558,2,90.91,181.82,2014-01-21 21:21:01
205,383080,Will LLC,B1-33364,43,81.07,3486.01,2014-01-21 23:08:01
206,688981,Keeling LLC,B1-65551,22,22.03,484.66,2014-01-22 00:09:56
207,740150,Barton LLC,B1-86481,20,30.41,608.2,2014-01-22 16:33:51
208,786968,"Frami, Hills and Schmidt",S2-34077,16,14.01,224.16,2014-01-22 17:01:44
209,737550,"Fritsch, Russel and Anderson",B1-53102,34,99.48,3382.32,2014-01-22 22:00:08
210,218895,Kulas Inc,S1-93683,21,49.59,1041.39,2014-01-22 23:49:39
211,729833,Koepp Ltd,S2-11481,42,68.76,2887.92,2014-01-23 02:37:44
212,729833,Koepp Ltd,B1-05914,46,43.84,2016.64,2014-01-23 20:40:21
213,740150,Barton LLC,S1-06532,10,65.87,658.7,2014-01-24 00:00:35
214,163416,Purdy-Kunde,S1-47412,31,54.32,1683.92,2014-01-24 04:14:33
215,424914,White-Trantow,S2-78676,39,21.9,854.1,2014-01-24 08:40:53
216,527099,Sanford and Sons,S1-82801,38,78.91,2998.58,2014-01-24 14:15:55
217,218895,Kulas Inc,B1-86481,37,95.87,3547.19,2014-01-24 21:42:25
218,257198,"Cronin, Oberbrunner and Spencer",S2-16558,41,23.35,957.35,2014-01-25 23:53:42
219,642753,Pollich LLC,S2-83881,43,13.83,594.69,2014-01-26 07:13:58
220,672390,Kuhn-Gusikowski,B1-33087,18,90.34,1626.12,2014-01-26 08:34:03
221,239344,Stokes LLC,S2-82423,34,92.67,3150.78,2014-01-26 12:10:58
222,163416,Purdy-Kunde,B1-05914,35,85.87,3005.45,2014-01-26 20:08:00
223,737550,"Fritsch, Russel and Anderson",B1-65551,49,19.14,937.86,2014-01-27 01:59:54
224,412290,Jerde-Hilpert,S2-16558,27,11.77,317.79,2014-01-27 02:45:03
225,740150,Barton LLC,S1-47412,27,36.12,975.24,2014-01-27 05:48:37
226,141962,Herman LLC,B1-05914,30,80.49,2414.7,2014-01-27 07:26:02
227,141962,Herman LLC,S2-82423,40,50.87,2034.8,2014-01-27 15:18:08
228,688981,Keeling LLC,S2-83881,35,29.14,1019.9,2014-01-28 06:50:30
229,412290,Jerde-Hilpert,S2-23246,28,30.67,858.76,2014-01-28 08:27:19
230,688981,Keeling LLC,S1-65481,26,30.06,781.56,2014-01-28 10:44:14
231,424914,White-Trantow,S2-16558,42,68.86,2892.12,2014-01-28 15:12:03
232,737550,"Fritsch, Russel and Anderson",S1-65481,47,45.71,2148.37,2014-01-28 15:49:45
233,740150,Barton LLC,B1-33364,6,24.64,147.84,2014-01-28 16:28:29
234,604255,"Halvorson, Crona and Champlin",S2-83881,25,50.24,1256.0,2014-01-30 03:09:55
235,412290,Jerde-Hilpert,B1-53636,42,57.33,2407.86,2014-01-30 11:14:52
236,688981,Keeling LLC,B1-04202,27,98.66,2663.82,2014-01-30 22:54:49
237,383080,Will LLC,S2-11481,17,67.71,1151.07,2014-01-30 23:25:46
238,737550,"Fritsch, Russel and Anderson",S1-50961,1,34.81,34.81,2014-01-30 23:56:20
239,146832,Kiehn-Spinka,B1-53636,33,93.07,3071.31,2014-01-31 02:53:16
240,729833,Koepp Ltd,S2-16558,24,27.12,650.88,2014-01-31 19:43:49
241,383080,Will LLC,B1-05914,43,80.17,3447.31,2014-01-31 22:51:18
242,163416,Purdy-Kunde,S1-30248,19,65.03,1235.57,2014-03-01 16:07:40
243,527099,Sanford and Sons,S2-82423,3,76.21,228.63,2014-03-01 17:18:01
244,527099,Sanford and Sons,B1-50809,8,70.78,566.24,2014-03-01 18:53:09
245,737550,"Fritsch, Russel and Anderson",B1-50809,20,50.11,1002.2,2014-03-01 23:47:17
246,688981,Keeling LLC,B1-86481,-1,97.16,-97.16,2014-03-02 01:46:44
247,729833,Koepp Ltd,S1-82801,26,50.29,1307.54,2014-03-02 02:59:26
248,307599,"Kassulke, Ondricka and Metz",S1-93683,-1,86.38,-86.38,2014-03-02 03:29:04
249,412290,Jerde-Hilpert,S2-23246,27,58.87,1589.49,2014-03-02 12:10:30
250,307599,"Kassulke, Ondricka and Metz",S2-34077,48,53.36,2561.28,2014-03-02 14:12:28
251,141962,Herman LLC,S2-10342,49,31.39,1538.11,2014-03-02 23:08:02
252,257198,"Cronin, Oberbrunner and Spencer",S2-16558,7,26.21,183.47,2014-03-03 00:29:24
253,257198,"Cronin, Oberbrunner and Spencer",S2-23246,40,49.19,1967.6,2014-03-03 10:17:24
254,688981,Keeling LLC,B1-38851,25,74.68,1867.0,2014-03-03 18:18:54
255,239344,Stokes LLC,S1-82801,41,78.9,3234.9,2014-03-04 01:06:20
256,218895,Kulas Inc,S2-78676,38,89.02,3382.76,2014-03-04 01:17:11
257,642753,Pollich LLC,S2-10342,40,56.85,2274.0,2014-03-04 01:49:22
258,737550,"Fritsch, Russel and Anderson",S2-83881,12,63.6,763.2,2014-03-04 15:26:20
259,146832,Kiehn-Spinka,B1-53636,5,72.16,360.8,2014-03-04 21:18:04
260,412290,Jerde-Hilpert,S2-77896,43,76.66,3296.38,2014-03-04 23:10:28
261,383080,Will LLC,S1-93683,28,90.86,2544.08,2014-03-05 05:11:49
262,729833,Koepp Ltd,S1-30248,13,44.84,582.92,2014-03-05 17:33:52
263,424914,White-Trantow,S2-82423,38,50.93,1935.34,2014-03-05 21:40:10
264,672390,Kuhn-Gusikowski,S1-50961,34,48.2,1638.8,2014-03-06 11:59:00
265,239344,Stokes LLC,S2-10342,34,36.93,1255.62,2014-03-06 23:49:16
266,218895,Kulas Inc,S2-34077,30,99.73,2991.9,2014-03-07 05:15:29
267,672390,Kuhn-Gusikowski,B1-05914,25,89.86,2246.5,2014-03-07 06:25:52
268,740150,Barton LLC,S1-82801,29,60.81,1763.49,2014-03-07 10:24:54
269,218895,Kulas Inc,B1-20000,23,99.57,2290.11,2014-03-07 13:34:00
270,257198,"Cronin, Oberbrunner and Spencer",S1-30248,14,91.37,1279.18,2014-03-07 16:21:58
271,672390,Kuhn-Gusikowski,S2-83881,26,88.38,2297.88,2014-03-07 20:18:18
272,424914,White-Trantow,B1-53636,44,59.93,2636.92,2014-03-07 21:16:24
273,307599,"Kassulke, Ondricka and Metz",S2-10342,4,12.99,51.96,2014-03-07 23:59:26
274,383080,Will LLC,B1-20000,45,29.9,1345.5,2014-03-08 01:50:36
275,527099,Sanford and Sons,S2-82423,44,23.3,1025.2,2014-03-09 00:18:55
276,146832,Kiehn-Spinka,S2-77896,27,70.76,1910.52,2014-03-09 11:05:47
277,642753,Pollich LLC,B1-05914,15,65.5,982.5,2014-03-09 11:22:09
278,786968,"Frami, Hills and Schmidt",S1-65481,14,44.67,625.38,2014-03-09 19:13:11
279,527099,Sanford and Sons,S1-82801,35,95.17,3330.95,2014-03-09 19:13:20
280,257198,"Cronin, Oberbrunner and Spencer",S2-23246,43,87.4,3758.2,2014-03-10 05:39:36
281,527099,Sanford and Sons,B1-65551,6,58.04,348.24,2014-03-10 05:52:17
282,218895,Kulas Inc,S1-47412,21,94.45,1983.45,2014-03-10 11:02:14
283,729833,Koepp Ltd,S2-10342,12,93.64,1123.68,2014-03-10 13:08:45
284,412290,Jerde-Hilpert,S1-82801,26,74.79,1944.54,2014-03-11 02:49:11
285,642753,Pollich LLC,S2-77896,13,48.14,625.82,2014-03-11 06:19:26
286,218895,Kulas Inc,B1-33364,17,93.01,1581.17,2014-03-11 08:20:57
287,307599,"Kassulke, Ondricka and Metz",S1-50961,28,34.87,976.36,2014-03-11 10:49:24
288,146832,Kiehn-Spinka,S1-93683,17,10.63,180.71,2014-03-11 12:43:03
289,383080,Will LLC,S1-82801,3,77.06,231.18,2014-03-11 16:38:10
290,672390,Kuhn-Gusikowski,B1-38851,44,48.69,2142.36,2014-03-12 01:09:55
291,307599,"Kassulke, Ondricka and Metz",S2-82423,5,18.88,94.4,2014-03-12 05:21:53
292,257198,"Cronin, Oberbrunner and Spencer",S1-93683,34,79.57,2705.38,2014-03-12 08:58:47
293,729833,Koepp Ltd,B1-38851,2,61.18,122.36,2014-03-13 08:21:57
294,146832,Kiehn-Spinka,S2-77896,1,96.07,96.07,2014-03-13 09:41:36
295,239344,Stokes LLC,B1-38851,27,50.42,1361.34,2014-03-13 11:54:58
296,672390,Kuhn-Gusikowski,S1-93683,5,95.4,477.0,2014-03-14 00:19:31
297,412290,Jerde-Hilpert,S2-10342,13,70.43,915.59,2014-03-14 10:04:49
298,714466,Trantow-Barrows,B1-33087,43,32.77,1409.11,2014-03-14 12:47:48
299,604255,"Halvorson, Crona and Champlin",S1-47412,27,25.69,693.63,2014-03-14 16:01:34
300,672390,Kuhn-Gusikowski,S1-47412,11,75.08,825.88,2014-03-14 16:15:23
301,786968,"Frami, Hills and Schmidt",B1-33087,27,84.05,2269.35,2014-03-14 22:57:04
302,146832,Kiehn-Spinka,S2-78676,26,42.67,1109.42,2014-03-14 23:19:26
303,239344,Stokes LLC,B1-20000,32,14.0,448.0,2014-03-15 02:48:09
304,146832,Kiehn-Spinka,B1-20000,41,98.48,4037.68,2014-03-15 12:28:14
305,688981,Keeling LLC,B1-86481,27,84.31,2276.37,2014-03-15 15:21:38
306,740150,Barton LLC,B1-20000,20,73.93,1478.6,2014-03-15 18:21:23
307,141962,Herman LLC,S1-47412,38,36.67,1393.46,2014-03-16 12:33:23
308,672390,Kuhn-Gusikowski,S1-93683,36,59.16,2129.76,2014-03-16 13:04:43
